"M_Topic","L_Topic","year","mean","sd","N","norm","allwords"
"M_Topic1","L_Topic2",1975,0.004545123,0.008369629,399,1.125809089,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1976,0.004168854,0.007264571,350,1.032608738,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1977,0.004499646,0.007724976,319,1.114544617,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1978,0.004071889,0.008061159,314,1.00859078,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1979,0.004423107,0.007154464,343,1.095586131,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1980,0.004519256,0.008039374,327,1.11940179,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1981,0.004212932,0.007225996,279,1.043526714,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1982,0.004918825,0.0079733,317,1.218373502,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1983,0.005397575,0.009701239,321,1.336957997,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1984,0.004874246,0.008292945,287,1.207331578,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1985,0.005669429,0.00865348,291,1.404295212,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1986,0.00489363,0.007694761,300,1.212132807,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1987,0.004447552,0.008217893,283,1.101641092,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1988,0.004736753,0.007813229,287,1.173274906,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1989,0.004639862,0.007773229,284,1.149275371,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1990,0.00483648,0.007474435,262,1.197976925,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1991,0.004649564,0.009129772,247,1.151678506,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1992,0.00425814,0.007225157,243,1.054724365,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1993,0.004053356,0.00688667,249,1.004000153,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1994,0.004779606,0.009544447,253,1.183889448,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1995,0.004689784,0.00745599,271,1.161640924,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1996,0.004669374,0.007479618,234,1.156585591,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1997,0.005819466,0.010293783,240,1.44145863,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1998,0.00498746,0.008397814,257,1.235374145,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1999,0.005044158,0.008207707,227,1.249418092,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2000,0.004367477,0.007757163,236,1.081806815,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2001,0.003755907,0.006208619,249,0.930323404,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2002,0.004076296,0.007131185,263,1.00968243,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2003,0.004654577,0.00784589,262,1.152920429,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2004,0.003910093,0.007710516,270,0.968514468,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2005,0.004477005,0.006561683,288,1.108936516,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2006,0.005011795,0.007787629,321,1.241401893,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2007,0.005096232,0.009450025,288,1.262316434,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2008,0.00523752,0.008312168,346,1.297312911,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",2009,0.005042757,0.008157609,351,1.249071066,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic10","L_Topic11",1960,0.002648529,0.005470873,451,1,"harm_M.9.M, harm_M.5.m7, harm_m7.0.M, timb_31, harm_m.9.M, harm_M.6.m7, timb_08, timb_21, timb_29, timb_15"
